raw_street,raw_area
33 Hampton Terrace,"Parkvale, Tauranga, Bay of Plenty"
6 Kairanga Street,"Mangere East, Auckland, Auckland South"
1/30 Ottawa Road,"Wainoni, Christchurch, Auckland North Shore"
440 Curraghs Road,"West Melton, Canterbury"
1468 Great South Road,"Ramarama, Drury, Auckland South"
15 Stottholm Road,"Titirangi, Auckland, Auckland West"
259 Fletcher Road,"Waimauku, Auckland North Shore"
45 Dryden Street,"Grey Lynn, Auckland, Auckland City"
51 Mangere Road,"Otahuhu, Auckland, Auckland City"
2 Te Kopi Road,"Te Whiti, Gladstone, Wairarapa"
16 Young Lane,"Clyde, Otago"
31 MacKelvie Street,"Grey Lynn, Auckland, Auckland City"
53 Paterson Road,"Nevis, Cromwell, Otago"
108A Aickin Road,"Whangamata, Waikato"
15A Hungerford Road,"Lyall Bay, Wellington, Wellington"
1 Harvest Lane,"Arrowtown, Otago"
15 Railway Terrace,"Glentunnel, Canterbury"
32 Universal Drive,"Henderson, Auckland, Auckland West"
128 Uretiti Road,"Waipu, Northland"
273 Kepa Road,"Mission Bay, Auckland, Auckland City"
1787 River Road,"Flagstaff, Hamilton, Waikato"
8 Caracara Place,"Rolleston, Canterbury"
1 Carex Rise,"Cracroft, Christchurch, Canterbury"
3 Grimwood Street,"Woodend, Canterbury"
36 Bodiam Place,"Bethlehem, Tauranga, Bay of Plenty"
250 Mangorei Road,"Merrilands, New Plymouth, Taranaki"
1036 Tekoa Road,"Balmoral, Canterbury"
21 Greengrass Crescent,"Kaiapoi, Canterbury"
60 Waituarua Drive,"Takanini, Auckland South"
130 Taikata Road,"Te Atatu Peninsula, Auckland, Auckland West"
10 Hikuwai Lane,"Warkworth, Auckland North Shore"
12 Rangitikei Street,"Palmerston North, Manawatu/Whanganui"
36A Kingseat Road,"Patumahoe, Auckland, Auckland South"
"26 SH 1, Clayden Road & Matakana Link Road","Warkworth, Auckland, Auckland North Shore"
10 Cook Drive,"Tuakau, Waikato"
1A Poaka Place,"Taradale, Napier, Hawkes Bay/Gisborne"
3322 Lauder-Omakau Road,"Lauder, Omakau, Otago"
14 Maru Lane,"Kamo, Whangarei, Northland"
42 Kukuwai Avenue,"Red Beach, Auckland North Shore"
"1/8, 14, 14A, 16, 2/18 Cypress Place","Sunnynook, Auckland, Auckland North Shore"
6 Goodland Place,"Rolleston, Canterbury"
29 Isa-Lei Road,"Kaiapoi, Canterbury"
Kainui Road,"Taupiri, Waikato"
41 Tennyson Street,"Dunedin, Otago"
28 Hills View Drive,"Papamoa, Bay of Plenty"
118 Chichester Drive,"Rosehill, Auckland, Auckland South"
20 Larsens Road,"Halswell, Christchurch, Canterbury"
Seafoam Place & Citrus Avenue,"Waihi Beach, Bay of Plenty"
6 Linwood Way,"Island Bay, Wellington, Wellington"
1 Nolan Road,"Greenlane, Auckland, Auckland City"
92 Costley Street West,"Carterton, Wairarapa"
3/13 Milton Road,"Orewa, Auckland North Shore"
370 Pioneer Drive,"Te Awamutu, Waikato"
22 Richardson Road,"Matamata, Waikato"
1 Tamar Place,"Mangere East, Auckland, Auckland South"
82 Kittiwake Drive,"Schnapper Rock, Auckland, Auckland North Shore"
15 Sampsons Way,"Dargaville, Northland"
53 Skippers Road,"Opito Bay, Whitianga, Waikato"
24 Paisley Street,"Awapuni, Palmerston North, Manawatu/Whanganui"
33 Billy Way,"West Plains, Invercargill, Southland"
4 Tunarau Street,"Raglan, Waikato"
22 Provisional Drive,"Kamo, Whangarei, Northland"
34 Petries Road,"Woodend, Canterbury"
3 Magnum Drive,"Kumeu, Auckland, Auckland North Shore"
646 Victoria Street,"Hamilton Central, Hamilton, Waikato"
1356 Great South Road,"Drury, Auckland, Auckland South"
Marguerita Street,"Fenton Park, Rotorua, Bay of Plenty"
9 Bay View Road,"Atawhai, Nelson, Nelson/Marlborough"
9 Oakdale Grove,"Richmond, Nelson, Nelson/Marlborough"
Cnr Commerce Street & 3-5 Domain Road,"Whakatane, Bay of Plenty"
48 Quaifes Road,"Halswell, Christchurch, Canterbury"
91 Maupuia Road,"Maupuia, Wellington, Wellington"
364 Lamb Street,"Leamington, Cambridge, Waikato"
95 Flanshaw Road,"Te Atatu South, Auckland, Auckland West"
17 Hamilton Crescent,"Whitianga, Waikato"
74 Nganui Avenue,"Takanini, Auckland, Auckland South"
362 King Road,"Mangawhai, Northland"
6 Hihi Rise,"Horahora, Whangarei, Northland"
2 Retreat Road,"Waihopai, Invercargill, Southland"
"4-23, 666 Great South Road","Ellerslie, Auckland, Auckland City"
8 Anglesea Street,"Freemans Bay, Auckland, Auckland City"
1 Yulia Road,"Flat Bush, Auckland, Auckland South"
165 SH 1,"Otaki, Wellington"
21A Sumner Street,"Spreydon, Christchurch, Canterbury"
30A Moana View Road,"Waikawa, Picton, Waikato"
10 McFarlane Street,"Mt Victoria, Wellington, Wellington"
51 West Harbour Drive,"West Harbour, Auckland, Auckland West"
53 Roys Street,"Marshland, Christchurch, Canterbury"
9 Ian Place,"Waihi Beach, Waikato"
439 Ilam Road,"Bryndwr, Christchurch, Canterbury"
31 Blacks Road,"Greenhithe, Auckland, Auckland North Shore"
27 Robert Might Road,"Kumeu, Auckland West"
41 Sanders Way,"Springston, Canterbury"
75 Sycamore Drive,"Sunnynook, Auckland, Auckland North Shore"
106 Jickell Street,"Palmerston North, Manawatu/Whanganui"
71 Hillcrest Road,"Papatoetoe, Auckland, Auckland South"
29 Kaipara Portage Road,"Riverhead, Auckland North Shore"
24 Nancy Avenue,"Feilding, Manawatu/Whanganui"
85-131 Quay Street,"Auckland CBD, Auckland City"
29 Roberton Road,"Avondale, Auckland, Auckland City"
4 Verran Place,"Fendalton, Christchurch, Canterbury"
81 Fergusson Road,"Halcombe, Manawatu/Whanganui"
27 Galbraith Street,"Matapouri, Whangarei, Northland"
21A Portland Drive,"Highlands Park, New Plymouth, Taranaki"
374 Aspin Road,"Te Miro, Cambridge, Waikato"
160 Cameron Road,"Te Puke, Bay of Plenty"
16 Crail Court,"Totara Heights, Auckland, Auckland South"
33 Rose Leigh Drive,"Cambridge, Waikato"
19 Dove Place,"Holmes Hill, Oamaru, Otago"
"97, 99 & 101 Vinistra Road","Kumeu, Auckland, Auckland West"
569 Maronan Ealing Road,"Ealing, Ashburton, Canterbury"
149 Metehau Street,"Marshland, Christchurch, Canterbury"
54 Dalefield Road,"Carterton, Wairarapa"
9 Darwin Lane,"Remuera, Auckland, Auckland City"
21 Awatere Street,"Clover Park, Auckland, Auckland South"
10 Nikau Road,"Oneroa, Waiheke Island, Auckland City"
38 WestMoor Boulevard,"Springston, Canterbury"
Cowper Street,"Greymouth, West Coast"
253 Old North Road,"Kumeu, Auckland, Auckland North Shore"
77 Lady Issac Drive,"Rolleston, Canterbury"
The Drive,"Paraparaumu Beach, Paraparaumu, Wellington"
201B Bellona Road,"Whangamata, Waikato"
42 Takanini School Road,"Takanini, Auckland, Auckland South"
20-50 Roe Street,"Levin, Manawatu/Whanganui"
34A Tanner Street,"Havelock North, Hawkes Bay/Gisborne"
17 Scarborough Road,"Scarborough, Christchurch, Canterbury"
26 Hazelmere Road,"Sandringham, Auckland, Auckland City"
36 Vickerman Street,"Grovetown, Blenheim, Nelson/Marlborough"
20 Atwell Road,"Kaeo, Northland"
5 Tarn Close,"Richmond, Nelson, Nelson/Marlborough"
5-7 Wynyard Street,"Auckland CBD, Auckland City"
22 John Raven Lane,"Woodend, Canterbury"
Ranfurly Road,"Pahiatua, Manawatu/Whanganui"
87A Mount Heslington Road,"Brightwater, Nelson/Marlborough"
113 Oroua Street,"Eastbourne, Lower Hutt, Wellington"
303 Matakokiri Drive,"Tauriko, Tauranga, Bay of Plenty"
64 Konini Road,"Titirangi, Auckland, Auckland West"
Pohangina Road,"Pohangina, Manawatu/Whanganui"
Colenso Street,"Sumner, Canterbury"
11 Robley Road,"Pyes Pa, Tauranga, Bay of Plenty"
120 Whakaturou Crescent,"Pyes Pa, Tauranga, Bay of Plenty"
41 Fruitlands Road,"Kumeu, Auckland, Auckland North Shore"
12 Raihara Street,"Kaikohe, Northland"
528 Richardson Road,"Mt Roskill, Auckland, Auckland City"
19 Goodwin Crescent,"Pyes Pa, Tauranga, Bay of Plenty"
7 Grey Street,"Waitara, Taranaki"
8 Royal St Annes Drive,"Kamo, Whangarei, Northland"
11A Double Cone Road,"Jacks Point, Queenstown, Otago"
173 Tern Point,"Mangawhai, Northland, Northland"
36 Kelburn Parade,"Kelburn, Wellington, Wellington"
6 Mary Gebbie Avenue,"Prebbleton, Canterbury"
194 Te Moana Road,"Waikanae, Wellington"
151 Shillingford Boulevard,"Rolleston, Canterbury"
15 Tuke Lane,"Wanaka, Otago"
6 Alan James Lane,"Prebbleton, Canterbury"
23 Cadwil Drive,"Beachlands, Auckland, Auckland South"
"Rowles Road, Waiuku Road & Roy Road","Pukekohe, Auckland, Auckland South"
46 Maturiki Drive,"One Tree Point, Northland"
1A Birkenhead Avenue,"Birkenhead, Auckland, Auckland North Shore"
20 Seacombe Road,"Pt Chevalier, Auckland, Auckland City"
10 Victoria Avenue,"Avenal, Invercargill, Southland"
29 Normanton Street,"Glenfield, Auckland, Auckland North Shore"
990 Omihi Road,"Omihi, Waipara, Canterbury"
32-45 Fontenoy Street,"Mt Albert, Auckland, Auckland City"
85 Pennington Road,"Brixton, Waitara, Taranaki"
3 Glenbervie Drive,"Whangarei, Northland"
5 Hangahai Road,"Flat Bush, Auckland, Auckland South"
23B Sycamore Grove,"Lower Vogeltown, New Plymouth, Taranaki"
7 Pelham Place,"Lincoln, Canterbury"
110 Newbury Line,"Newbury, Palmerston North, Manawatu/Whanganui"
5 Pathways Drive,"Kerikeri, Northland"
6 Tuhaha Place,"Ligar Bay, Takaka, Nelson/Marlborough"
Franklin Road,"Pukekohe, Auckland, Auckland South"
6 Van Baarle Close,"Carterton, Wairarapa"
1/11 Defoe Place,"Waltham, Christchurch, Canterbury"
12 Library Lane,"Albany, Auckland, Auckland North Shore"
8 Gurners Lane,"Lincoln, Canterbury"
9 Eastfield Avenue,"Flat Bush, Auckland, Auckland South"
Heaphy Terrace,"Hamilton East, Hamilton, Waikato"
13 Exmoor Road,"Karaka, Papakura, Auckland South"
34 Alderson Avenue,"Hillsborough, Christchurch, Canterbury"
10 Gum Spear Road,"Takanini, Auckland, Auckland South"
Highbrook Drive,"East Tamaki, Auckland, Auckland South"
111 View Road,"Rotokawa, Taupo, Waikato"
109 Medhurst Road,"Mangatawhiri, Auckland, Auckland South"
12 Rata Street,"Riccarton, Christchurch, Canterbury"
364 Allport Road,"Paengaroa, Bay of Plenty"
9 Birkhall Grove,"Strathmore Park, Wellington, Wellington"
24 Konoba Avenue,"Kumeu, Auckland, Auckland North Shore"
75 Aranui Road,"Mt Wellington, Auckland, Auckland City"
12 Atutahi Street,"Hurdon, New Plymouth, Taranaki"
86 Chadwick Road,"Greerton, Tauranga, Bay of Plenty"
115D Dobson Street,"Gleniti, Timaru, Canterbury"
149A Manly Street,"Paraparaumu Beach, Paraparaumu, Wellington"
28 Dogwood Way,"Milson, Palmerston North, Manawatu/Whanganui"
5 Maori Point Road,"Tarras, Otago"
14 Wairau Road,"Oakura, Taranaki"
2491 Kawatiri-Murchison Highway,"Longford, Murchison, Nelson/Marlborough"
14 Benfield Avenue,"Mt Albert, Auckland, Auckland City"
3 Rehua Drive,"Ngaruawahia, Waikato"
1 Christina Avenue,"Te Atatu South, Auckland, Auckland West"
2 Three Mayors Lane,"Arrowtown, Otago"
6/8 Maki Street,"Massey, Auckland, Auckland West"
19 Victory Place,"Aramoho, Whanganui, Manawatu/Whanganui"
61 & 61A Munro Street,"Gisborne, Hawkes Bay/Gisborne"
Waiu Road,"Raglan, Waikato"
Brookes Road,"Frankton, Queenstown, Otago"
89 Oakdale Road,"Mt Roskill, Auckland, Auckland City"
25 Tautari Street,"Orakei, Auckland, Auckland City"
10 Willcott Street,"Mt Albert, Auckland, Auckland City"
120 Sutherland Drive,"Kaiapoi, Canterbury"
8 Cosgrave Road,"Papakura, Auckland, Auckland South"
Knighton Road,"Hamilton East, Hamilton, Waikato"
323 Hill Street,"Richmond, Nelson, Nelson/Marlborough"
"Villa 17, 11 Goddard Lane","Havelock North, Hawkes Bay/Gisborne"
73 Mettam Drive,"Swanson, Auckland, Auckland West"
29 Messines Road,"Karori, Wellington, Wellington"
933 Kopuku Road,"Maramarua Forest, Te Kauwhata, Waikato"
11 Teiaroa Street,"Waikanae, Wellington"
6 Russell Road,"Wainuiomata, Lower Hutt, Wellington"
17 Kemble Close,"Mangere, Auckland, Auckland South"
13 Livery Lane,"Taupaki, Auckland North Shore"
105A Taradale Road,"Onekawa, Napier, Hawkes Bay/Gisborne"
21 Glenshee Street,"Wanaka, Otago"
15 Stoneyridge Close,"Mt Pleasant, Christchurch, Canterbury"
26 Rangatira Street,"Taupo, Waikato"
21 Bowen Street,"Queenstown, Otago"
34 George Street,"Geraldine, Canterbury"
4 Rimu Road,"Mangere Bridge, Auckland, Auckland South"
54 Seafield View Road,"Grafton, Auckland, Auckland City"
259 Bremner Road,"Karaka, Papakura, Auckland South"
88 Martin Road,"Waerenga, Waikato"
9 Saddle Terrace,"Te Awamutu, Waikato"
6 & 8 Silk Place,"Rolleston, Canterbury"
3A Armstrong Avenue,"Waitara, Taranaki"
38 Kilcooley Road,"Flat Bush, Auckland, Auckland South"
59 Endeavour Street,"Lyall Bay, Wellington, Wellington"
259 Huia Street,"Waikanae, Wellington"
19 Titoki Street,"Matamata, Waikato"
498 Waitekauri Road,"Waikino, Waihi, Waikato"
2 A Strandon Place,"Strandon, New Plymouth, Taranaki"
12 Tauroa Drive,"Tuakau, Waikato"
20 Lincoln Road,"Manurewa East, Auckland, Auckland South"
23 Edgeworth Road,"Glenfield, Auckland, Auckland North Shore"
9 Moa Street,"Waikiwi, Invercargill, Southland"
1655 Whaanga Road,"Raglan, Waikato"
13 Lemonwood Way,"Woodridge, Wellington, Wellington"
Masterton-Castlepoint Road,"Masterton, Wairarapa"
3 Hinaki Street,"Poike, Tauranga, Bay of Plenty"
48 Beachlands Road,"Beachlands, Auckland, Auckland South"
91-95 Oceanbeach Road,"Mt Maunganui, Tauranga, Bay of Plenty"
26 Milla Mae Rise,"Woodhill, Whangarei, Northland"
170 Hoon Hay Road,"Hoon Hay, Christchurch, Canterbury"
"12, 14, 16 & 18 Tucker Close","Leamington, Cambridge, Waikato"
11 Epic Way,"Newlands, Wellington, Wellington"
"Maketu Road, Quarry Road & Fitzgerald Road","Drury, Auckland, Auckland South"
186E Holland Road,"Puketaha, Hamilton, Waikato"
81B McLauchlan Street,"Blenheim, Nelson/Marlborough"
14 Coach Way,"Rolleston, Canterbury"
685 Harrisville Road,"Pukekohe East, Pukekohe, Auckland South"
391 Peninsula Road,"Kelvin Heights, Queenstown, Otago"
79 The Esplanade,"Pegasus, Canterbury"
109 Beresford Street,"Bayswater, Auckland, Auckland North Shore"
32 Malvern Road,"Wanaka, Otago"
9 Gibbs Crescent,"Wainuiomata, Lower Hutt, Wellington"
21 Keith Camp Place,"Morrinsville, Waikato"
15 Kathleen Street,"Totara Vale, Auckland, Auckland North Shore"
36 Allen Street,"Mangere East, Auckland, Auckland South"
18 Kildare Terrace,"Lincoln, Canterbury"
3 Harpham Street,"Taradale, Napier, Hawkes Bay/Gisborne"
41 Rutherford Street & 259 Arrowtown-Lake Hayes Road,"Near Arrowtown, Otago"
12 Hermitage Street,"Flat Bush, Auckland, Auckland South"
26A Tedder Street,"St Kilda, Dunedin, Otago"
"34, 36, 38 & 48 Cambie Avenue","Red Beach, Auckland North Shore"
24 Skipton Street,"Mangere East, Auckland, Auckland South"
9 Crawford Street,"Avalon, Hamilton, Waikato"
17 Skua Road,"Hobsonville, Auckland, Auckland West"
32-36 Fenchurch Street,"Redwood, Christchurch, Canterbury"
50 Ruby Way,"Waipu, Northland"
540 North Road,"Lorneville, Invercargill, Southland"
2 Cardinal Place,"Glendowie, Auckland, Auckland City"
66 Hodgkins Street,"Pukehangi, Rotorua, Bay of Plenty"
5 McKay Close,"Frimley, Hastings, Hawkes Bay/Gisborne"
10 Andre Rise,"Stanmore Bay, Whangaparaoa, Auckland North Shore"
49 Angiangi Crescent,"Beachlands, Auckland, Auckland South"
6 Kingsland Terrace,"Kingsland, Auckland, Auckland City"
31 Daniel Place,"Kelvin Grove, Palmerston North, Manawatu/Whanganui"
2510 Methven Highway,"Methven, Canterbury"
198 Pataua South Road,"Onerahi, Whangarei, Northland"
2 Othello Place,"Stratford, Taranaki"
6-14 Meadowbank Road,"Meadowbank, Auckland, Auckland City"
17 Russell Lilley Drive,"Rolleston, Canterbury"
9 Frontier Lane,"Flat Bush, Auckland, Auckland South"
52 Whenuapai Drive,"Whenuapai, Auckland, Auckland West"
17 Voight Avenue,"Chartwell, Hamilton, Waikato"
79 Fulford Street,"New Plymouth, Taranaki"
81 Truman Lane,"Mt Maunganui, Tauranga, Bay of Plenty"
24 Wenlock Street,"Waihi, Waikato"
9/8 Dale Road,"Whenuapai, Auckland, Auckland West"
13 Larissa Road,"Halswell, Christchurch, Canterbury"
7 Tu Atu Street,"Ahuriri, Napier, Hawkes Bay/Gisborne"
3 Trafalgar Road,"Milford, Auckland, Auckland North Shore"
21 Dundee Road,"Mosgiel, Otago"
9A Waghorn Street,"Pyes Pa, Tauranga, Bay of Plenty"
12 Boyes Avenue,"Whenuapai, Auckland, Auckland West"
5 Kohupatiki Road,"Clive, Hawkes Bay/Gisborne"
4 Francis Street,"Grey Lynn, Auckland, Auckland City"
53 Archibald Road,"Kelston, Auckland, Auckland West"
9 Wai Whatu Street,"Napier, Hawkes Bay/Gisborne"
58 Farnworth Terrace,"Churton Park, Wellington, Wellington"
65 Albert Road,"Devonport, Auckland, Auckland North Shore"
336 Inland North Road,"Tikorangi, Waitara, Taranaki"
33 Dungloe Avenue,"Flat Bush, Auckland, Auckland South"
59 Arabella lane,"Snells Beach, Auckland, Auckland North Shore"
273 Island Road,"Kaiapoi, Canterbury"
460-464 Jardine Road,"Awamoko, Oamaru, Otago"
37 Felgrove Street,"Glendene, Auckland, Auckland West"
22 Richardson Street,"Nelson, Nelson/Marlborough"
20 Rongomai Road,"Otara, Auckland, Auckland South"
Beale Street,"Hamilton East, Hamilton, Waikato"
75 St Marys Road,"Saint Marys Bay, Auckland, Auckland City"
71 Seaview Road,"Castor Bay, Auckland, Auckland North Shore"
3 Sydney Owen Road,"Kingseat, Pukekohe, Auckland South"
295 Wainui Road,"Wainui, Auckland North Shore"
552 Manukau Road,"Epsom, Auckland, Auckland City"
6 Korokia Way,"Taupo, Waikato"
120 Oliver Road,"Te Miro, Cambridge, Waikato"
2 Jeffs Way,"Papamoa Beach, Papamoa, Bay of Plenty"
21 Taikura Avenue,"Red Beach, Auckland North Shore"
56 Halton Street,"Strowan, Christchurch, Canterbury"
279 Tancred Street,"Ashburton, Canterbury"
7 Edna Lane,"Lake Hawea, near Wanaka, Otago"
38 Links Road,"New Lynn, Auckland, Auckland West"
82 Silverstream Road,"Crofton Downs, Wellington, Wellington"
3 Rakihau Place,"Titahi Bay, Porirua, Wellington"
12 Manakohi Street,"Spotswood, New Plymouth, Taranaki"
827 SH 30,"Awakeri,Whakatane District, Bay of Plenty"
32 Vogel Street,"Richmond, Christchurch, Nelson/Marlborough"
5 Burns Avenue,"Takapuna, Auckland, Auckland North Shore"
1149B Goulds Road,"Rolleston, Canterbury"
8 Westmorland Avenue,"Darfield, Canterbury"
36 Taiaruru Way,"Russell, Northland"
50 Savoy Road,"Glen Eden, Auckland, Auckland West"
119 Kiwi Road,"Whangamata, Waikato"
9 Taffe Crescent,"Pyes Pa, Tauranga, Bay of Plenty"
12 Flax Street,"Ruakaka, Whangarei, Northland"
37 Hastings Road,"Mairangi Bay, Auckland, Auckland North Shore"
34 Sanders Way,"Springston, Canterbury"
7 Beak Street,"Rolleston, Canterbury"
85 Glenvar Ridge Road,"Long Bay, Auckland, Auckland North Shore"
10 Rienzo Drive,"Flat Bush, Auckland, Auckland South"
15 Rua Avenue,"Waitarere Beach, Levin, Manawatu/Whanganui"
2 Suncrest Lane,"Port Whangarei, Whangarei, Northland"
29 Thomas Street,"Waikouaiti, Otago"
7 Ring Terrace,"Saint Marys Bay, Auckland, Auckland City"
18 Clarence Street,"Waiau, Canterbury"
8 Bell Bird Rise,"Picton, Nelson/Marlborough"
4 Feltham Street,"Richmond, Nelson/Marlborough"
46 Messenger Terrace,"Oakura, Taranaki"
227 Mangaorongo Road,"Otorohanga, Waikato"
35-45 Karaka Street,"Tokomaru, Palmerston North, Manawatu/Whanganui"
70A Clarkin Road,"Fairfield, Hamilton, Waikato"
6 Huriana Crescent,"Western Bay of Plenty, Bay of Plenty"
22A Barron Drive,"Green Bay, Auckland, Auckland West"
205 Butchers Bridge Road,"Otaua, Auckland South"
"51, 52 & 54 Twin Parks Rise","Papakura, Auckland, Auckland South"
43C Clermiston Avenue,"Corstorphine, Dunedin, Otago"
19 Cardiff Avenue,"Somerfield, Christchurch, Canterbury"
24 Grooby Place,"Havelock North, Hawkes Bay/Gisborne"
366 Panama Road,"Mt Wellington, Auckland, Auckland City"
10 Windlass Street,"Long Bay, Auckland, Auckland North Shore"
877 No 7 Road,"Springdale, Waikato"
8 Martin Street,"Porirua East, Porirua, Wellington"
22 Crake Street,"Te Kauwhata, Waikato"
60 Otahuna Road,"Tai Tapu, Canterbury"
11 Millett Road,"Whangaripo, Wellsford, Auckland North Shore"
100 Swayne Road & Rose Leigh Drive,"Cambridge, Waikato"
7 Aberfoyle Street,"Epsom, Auckland, Auckland City"
8 Walter Case Drive,"Casebrook, Christchurch, Canterbury"
200 Hingaia Road,"Hingaia, Auckland, Auckland South"
27 Cassidy Drive,"Orewa, Auckland North Shore"
2 Symes Drive,"Red Beach, Auckland North Shore"
11 Golden Morning Drive,"Albany Heights, Auckland, Auckland North Shore"
257 Greenhill Drive,"Te Awamutu, Waikato"
9 Golding Road,"Taradale, Napier, Hawkes Bay/Gisborne"
19 McQuoids Road,"Flat Bush, Auckland, Auckland South"
28 Powells Road,"Fairview Downs, Hamilton, Waikato"
10 Florence Place,"Springlands, Blenheim, Nelson/Marlborough"
17 Kyeburn Street,"Wanaka, Otago"
34 Ascot Street,"Richmond, Nelson/Marlborough"
21 Malaga Crescent,"Harewood, Christchurch, Canterbury"
22 Hogan Street,"Hamilton East, Hamilton, Waikato"
113 Centennial Avenue,"Alexandra, Otago"
658 Papamoa Beach Road,"Papamoa Beach, Papamoa, Bay of Plenty"
243 Harbourside Drive,"Karaka, Papakura, Auckland South"
15 Grover Street,"Orewa, Auckland North Shore"
25 Westbrook Avenue,"Rolleston, Canterbury"
1 Manly Street,"Paraparaumu Beach, Paraparaumu, Wellington"
49C Bunyan Road,"Coastlands, Whakatane, Bay of Plenty"
1 Broadlands Drive,"Rolleston, Canterbury"
33 Fairmont Rise,"West Melton, Canterbury"
1/109 St Leger Road,"Te Awamutu, Waikato"
6 Frantoio Ridge Road,"Mangonui, Northland"
72 Evans Street,"Opoho, Dunedin, Otago"
53 Kotiate Street,"Papamoa Beach, Papamoa, Bay of Plenty"
1 Fjord Way,"Karaka, Papakura, Auckland South"
179 Main Road,"Governors Bay, Banks Peninsula, Canterbury"
9 Queen Street,"Mt Victoria, Wellington, Wellington"
22 Finch Street,"One Tree Point, Whangarei, Northland"
23 Mercury Lane,"Windsor Park, Auckland, Auckland North Shore"
27 Jutland Road,"Pukekohe, Auckland, Auckland South"
18 Goldie Drive,"Rangiora, Canterbury"
46 Beachcroft Avenue,"Onehunga, Auckland, Auckland City"
8 Tokotoko Parade,"Matamata, Waikato"
2 John Main Drive,"Drury, Auckland, Auckland South"
211 Wanaka-Mt Aspiring Road,"Wanaka, Otago"
Telegraph Road,"Burnham, Canterbury"
73 Vinegar Hill Road,"Hunterville, Manawatu/Whanganui"
367 Tuakau Road,"Buckland, Pukekohe, Auckland South"
5 Albrecht Avenue,"Mt Roskill, Auckland, Auckland City"
Constable Road,"Waiuku, Auckland South"
2182 East Coast Road,"Silverdale, Auckland North Shore"
14 Kairanga Street,"Mangere East, Auckland, Auckland South"
5 Wattie Fox Lane,"Kenmure, Dunedin, Otago"
6 Rawhiti Road,"One Tree Hill, Auckland, Auckland City"
42 Fife Street,"Westmere, Auckland, Auckland City"
29 Woodley Road,"Richmond, Nelson/Marlborough"
195 Haycock Road,"Hope, Richmond, Nelson/Marlborough"
15 O`Reilly Road,"Lincoln, Canterbury"
44 Calder Crescent,"Pokeno, Waikato"
"4, 10 & 12 Fuselage Lane","Takanini, Auckland, Auckland South"
20 Lazarus Lane,"Halswell, Christchurch, Canterbury"
32 Arimu Road,"Papakura, Auckland, Auckland South"
6 Cherwell Lane,"Lower Shotover, Queenstown, Otago"
Takanini School Road & 2 Popes Road,"Takanini, Auckland, Auckland South"
"35, 37 & 39 Convoy Lane","Otahuhu, Auckland, Auckland City"
127 Penetaka Heights,"Pyes Pa, Tauranga, Bay of Plenty"
545 Glen Murray Road,"Churchill, Huntly, Waikato"
96 Spalling Road,"Halswell, Christchurch, Canterbury"
29 Karo Road,"Beachlands, Auckland, Auckland South"
58 Kenny Road,"Napier, Hawkes Bay/Gisborne"
121 Olive View Heights Drive,"Taipa, Northland"
Chrystalls Beach Road,"Glenledi, Milton, Otago"
231B Pinnacle Hill Road,"Mangatawhiri, Waikato"
65C Aranui Road,"Mapua, Nelson/Marlborough"
653 Peacockes Road,"Rukuhia, Hamilton, Waikato"
599 Blockhouse Bay Road,"Blockhouse Bay, Auckland, Auckland City"
17 Greenstead Close,"Flat Bush, Auckland, Auckland South"
43 Acacia Avenue,"Kihikihi, Te Awamutu, Waikato"
9 Day Road,"Patumahoe, Pukekohe, Auckland South"
26 Channel View Road,"Campbells Bay, Auckland, Auckland North Shore"
11 & 13 Rita Meredith Road,"Wai O Taiki Bay, Auckland, Auckland City"
62 Spring Road,"Gleniti, Timaru, Canterbury"
20 Castlebane Drive,"Flat Bush, Auckland, Auckland South"
6 Marliece Street,"Rolleston, Canterbury"
115 Williams Road North,"Pyes Pa, Tauranga, Bay of Plenty"
"Rahopuru Road, Oranga Drive","Westgate, Auckland, Auckland City"
847 Kerikeri Inlet Road,"Kerikeri, Northland"
12 Rilco Lane,"Springfield, Canterbury"
207 Chapman Road,"Earnscleugh, Alexandra, Otago"
2C Waitohu Road,"York Bay, Lower Hutt, Wellington"
10 Eastfield Avenue,"Flat Bush, Auckland, Auckland South"
22 Jack Vaughan Grove,"Wainuiomata, Lower Hutt, Wellington"
27 Mt Pleasant Road,"Mount Eden, Auckland, Auckland City"
41 Edith Street,"Masterton, Wairarapa"
83 Headsail Drive,"Long Bay, Auckland, Auckland North Shore"
45 Rock Ridge Drive,"Kamo, Whangarei, Northland"
40 Kahikatea Way,"Appleby, Richmond, Nelson/Marlborough"
23 Kendall Road,"Wainui, Auckland North Shore"
14 Tableau Place,"Totara Vale, Auckland, Auckland North Shore"
4 Karapapa Road,"Wainui, Auckland North Shore"
168 Monument Road,"Clevedon, Auckland South"
794 Colombo Street,"Christchurch Central, Canterbury"
82 Kennedy Road,"Waikino, Waihi, Waikato"
31 Pohe Street,"Waikanae, Kapiti Coast, Wellington"
137 Clark Road,"Hobsonville, Auckland, Auckland West"
45 Black Road,"Whangamarino, Te Kauwhata, Waikato"
48 Sunrise Avenue,"Mairangi Bay, Auckland, Auckland North Shore"
"4 Wate Way, 6 Wate Way, 8 Wate Way, 10 Wate Way, 14 Wate Way","Rolleston, Canterbury"
52 Prestons Park Drive,"Marshland, Christchurch, Canterbury"
4 Coonoor Road,"Watlington, Timaru, Canterbury"
84 Arawa Avenue,"Maketu, Paengaroa, Bay of Plenty"
90 Ruawai Road,"Mt Wellington, Auckland, Auckland City"
